SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:0),OREB,IND @ PHI,IND,PHI,"Friday, December 14",1,https://videos.nba.com/nba/pbp/media/2018/12/14/0021800424/22/a5772010-371b-5fab-f152-c6310b3ac25a_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:2),OREB,IND @ PHI,IND,PHI,"Friday, December 14",1,https://videos.nba.com/nba/pbp/media/2018/12/14/0021800424/161/d9a4f573-20a5-f99b-d6db-077b7534e53c_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:6),OREB,IND @ PHI,IND,PHI,"Friday, December 14",2,https://videos.nba.com/nba/pbp/media/2018/12/14/0021800424/293/f4646eef-2a03-f2f1-ad88-8e0e54d0f383_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:5 Def:11),OREB,IND @ PHI,IND,PHI,"Friday, December 14",3,https://videos.nba.com/nba/pbp/media/2018/12/14/0021800424/415/06261736-6c2f-8b97-94f9-a00cb42c48c2_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:6 Def:11),OREB,IND @ PHI,IND,PHI,"Friday, December 14",3,https://videos.nba.com/nba/pbp/media/2018/12/14/0021800424/430/cc64aabb-42e4-ccc5-639a-b1f9599553db_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:7 Def:11),OREB,IND @ PHI,IND,PHI,"Friday, December 14",3,https://videos.nba.com/nba/pbp/media/2018/12/14/0021800424/486/2acaedf7-de54-9fde-c1a3-b8ec91f9c645_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:8 Def:13),OREB,IND @ PHI,IND,PHI,"Friday, December 14",4,https://videos.nba.com/nba/pbp/media/2018/12/14/0021800424/670/f327a9e6-86b1-cd27-9ca3-055824c41f8d_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:8),OREB,PHI @ CLE,PHI,CLE,"Sunday, December 16",4,https://videos.nba.com/nba/pbp/media/2018/12/16/0021800437/563/9ca5d8b1-1e12-58c8-083a-7da9d08f82bb_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,PHI @ SAS,PHI,SAS,"Monday, December 17",1,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/29/1fe2597e-c52a-a65b-9fbb-057695a65a9a_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:3),OREB,PHI @ SAS,PHI,SAS,"Monday, December 17",2,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/154/1eebb259-886e-d095-e317-73511cdd56f9_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:6),OREB,PHI @ SAS,PHI,SAS,"Monday, December 17",2,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/302/f334ddec-a316-7dc0-d1f7-f9c64cef6db3_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,NYK @ PHI,NYK,PHI,"Wednesday, December 19",2,https://videos.nba.com/nba/pbp/media/2018/12/19/0021800457/165/0ffe092b-33f7-2b2c-de67-cd6f4c1dbfc8_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:3),OREB,NYK @ PHI,NYK,PHI,"Wednesday, December 19",2,https://videos.nba.com/nba/pbp/media/2018/12/19/0021800457/303/639f252b-addb-72a5-6d38-6cb40ba234cc_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:7),OREB,NYK @ PHI,NYK,PHI,"Wednesday, December 19",4,https://videos.nba.com/nba/pbp/media/2018/12/19/0021800457/496/976895d5-b07d-6389-6876-e16a5f0a9e41_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:3),OREB,TOR @ PHI,TOR,PHI,"Saturday, December 22",2,https://videos.nba.com/nba/pbp/media/2018/12/22/0021800481/232/9f91e8a7-af03-cb8c-6776-9970cf6a886b_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:8),OREB,PHI @ UTA,PHI,UTA,"Thursday, December 27",3,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/388/12fd04b7-f6c6-2789-84bd-a8e2aabb5093_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:9),OREB,PHI @ UTA,PHI,UTA,"Thursday, December 27",3,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/499/07e57894-01a6-1a02-34a0-046a1e34f6d0_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:1),OREB,PHI @ LAC,PHI,LAC,"Tuesday, January 1",1,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/25/873ca099-5981-e234-1255-2abba87288ee_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:1),OREB,PHI @ LAC,PHI,LAC,"Tuesday, January 1",1,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/173/0230bf95-6cf5-efd8-f9db-714e76be529f_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:3),OREB,PHI @ LAC,PHI,LAC,"Tuesday, January 1",2,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/222/a93f45a2-8a01-6fb0-e8c1-bb875e54d44e_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:11),OREB,PHI @ LAC,PHI,LAC,"Tuesday, January 1",4,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/564/7eb51148-45a2-ea98-4147-1e2fd3646857_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,PHI @ PHX,PHI,PHX,"Wednesday, January 2",1,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/16/25b1cfda-ea16-0714-fef5-adac0663edf6_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:0),OREB,PHI @ PHX,PHI,PHX,"Wednesday, January 2",1,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/18/dd3d6c78-0459-c13a-981c-79a20faa68f8_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:7),OREB,PHI @ PHX,PHI,PHX,"Wednesday, January 2",2,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/280/1473ffb1-082c-74ec-8394-dc1345fe287d_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:13),OREB,PHI @ PHX,PHI,PHX,"Wednesday, January 2",4,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/619/472b64af-d741-830c-dedd-28611d5404ed_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:4),OREB,PHI @ WAS,PHI,WAS,"Wednesday, January 9",2,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800608/224/fb54ee11-151c-10d2-1b43-37da6a67ef9b_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:4),OREB,PHI @ WAS,PHI,WAS,"Wednesday, January 9",2,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800608/362/de1d56fc-ac57-f2f3-73e4-97b9aefddc02_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:6),OREB,PHI @ WAS,PHI,WAS,"Wednesday, January 9",3,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800608/513/ccc63b3f-80f2-24d9-91d2-3b2025190b4a_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:7),OREB,PHI @ WAS,PHI,WAS,"Wednesday, January 9",4,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800608/561/28bd0b32-5d3b-4bf2-9784-3e3aafb6b98c_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:2),OREB,PHI @ NYK,PHI,NYK,"Sunday, January 13",2,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800638/186/cb9ef6ae-e4b3-0456-96ad-2d44ce0e32ce_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:6),OREB,PHI @ NYK,PHI,NYK,"Sunday, January 13",4,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800638/661/dbfae34e-e419-a104-2b1e-f699941bc600_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:2),OREB,MIN @ PHI,MIN,PHI,"Tuesday, January 15",1,https://videos.nba.com/nba/pbp/media/2019/01/15/0021800652/50/fd76ae9a-d685-883a-643f-ed52e0cf45dd_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:4),OREB,PHI @ IND,PHI,IND,"Thursday, January 17",3,https://videos.nba.com/nba/pbp/media/2019/01/17/0021800667/331/09c335f0-1692-1b50-b5d7-73aa52c4b698_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:4),OREB,PHI @ IND,PHI,IND,"Thursday, January 17",3,https://videos.nba.com/nba/pbp/media/2019/01/17/0021800667/333/8526af3d-e403-0659-c85a-a03773c97295_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:7),OREB,PHI @ IND,PHI,IND,"Thursday, January 17",3,https://videos.nba.com/nba/pbp/media/2019/01/17/0021800667/379/81e2da28-795f-7463-f34c-6534f67d1068_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,OKC @ PHI,OKC,PHI,"Saturday, January 19",1,https://videos.nba.com/nba/pbp/media/2019/01/19/0021800678/136/2ab40740-6278-a77b-7fad-3eeff1ba8e9e_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:4),OREB,OKC @ PHI,OKC,PHI,"Saturday, January 19",3,https://videos.nba.com/nba/pbp/media/2019/01/19/0021800678/369/3f5b582c-8410-2006-8df5-5675ad29aa7f_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,HOU @ PHI,HOU,PHI,"Monday, January 21",1,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800699/29/dd8f301d-9e50-bdd0-99cc-df93a2c3a811_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:7),OREB,HOU @ PHI,HOU,PHI,"Monday, January 21",3,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800699/404/86c90fd6-9320-51d2-2161-e7e0d76ac6c2_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:11),OREB,HOU @ PHI,HOU,PHI,"Monday, January 21",4,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800699/554/81a8e07e-2300-8ade-4efd-40a3cc7b2546_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,SAS @ PHI,SAS,PHI,"Wednesday, January 23",1,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/13/1fe3e111-de18-854f-ef42-3c50a0b20991_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:4),OREB,SAS @ PHI,SAS,PHI,"Wednesday, January 23",1,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/55/22c8b81d-1587-97e1-0947-7624b0561df1_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:4),OREB,SAS @ PHI,SAS,PHI,"Wednesday, January 23",1,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/57/940bdfe7-27b8-a23b-9ac4-4ea8d1582579_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:5),OREB,SAS @ PHI,SAS,PHI,"Wednesday, January 23",2,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/186/c2b256af-ff9d-c597-c383-cf4f85b8e543_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:5 Def:10),OREB,SAS @ PHI,SAS,PHI,"Wednesday, January 23",3,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/458/46be63d2-3af3-5d54-20cf-ea0455e0e08c_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:6 Def:11),OREB,SAS @ PHI,SAS,PHI,"Wednesday, January 23",4,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/515/bf296a2e-885b-62d8-167a-a0985512a1dd_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:7 Def:11),OREB,SAS @ PHI,SAS,PHI,"Wednesday, January 23",4,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/585/210f0df5-3851-dc12-858e-046d886e9b69_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:3),OREB,PHI @ LAL,PHI,LAL,"Tuesday, January 29",2,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/232/d03ecf05-e555-2cdf-6e90-434b0cda1b2e_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:2),OREB,PHI @ GSW,PHI,GSW,"Thursday, January 31",1,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/156/7b09a3b0-b93f-c49a-28db-44a6b0f9e2ba_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:6),OREB,PHI @ GSW,PHI,GSW,"Thursday, January 31",2,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/315/70163a85-df92-4a4d-c40d-12e487479751_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:9),OREB,PHI @ GSW,PHI,GSW,"Thursday, January 31",3,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/407/100ede06-c432-06ee-6369-8255c34512cb_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:10),OREB,PHI @ GSW,PHI,GSW,"Thursday, January 31",3,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/484/b1374444-e4c9-05bb-91b6-6b4e432cf67f_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:5 Def:11),OREB,PHI @ GSW,PHI,GSW,"Thursday, January 31",3,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/502/b159fb0e-921a-5fc7-359b-189ef0ffbd77_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:6 Def:13),OREB,PHI @ GSW,PHI,GSW,"Thursday, January 31",4,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/676/77eb152a-75c5-c416-740f-9bfe9ee87754_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:4),OREB,PHI @ SAC,PHI,SAC,"Saturday, February 2",2,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800785/226/9a7024aa-b9a3-f5c3-ee58-dffdd7ab40c5_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:4),OREB,PHI @ SAC,PHI,SAC,"Saturday, February 2",2,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800785/291/a5be5241-2eed-3410-b3ef-88bd1dead5ea_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:4),OREB,PHI @ SAC,PHI,SAC,"Saturday, February 2",2,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800785/296/71cd71e4-9dc5-15d9-f631-ba4db481c6ae_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:7),OREB,PHI @ SAC,PHI,SAC,"Saturday, February 2",3,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800785/404/f5904fac-e43f-c9d4-39a5-a2c15bc28659_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:5 Def:7),OREB,PHI @ SAC,PHI,SAC,"Saturday, February 2",3,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800785/485/49235953-c27f-cb27-51d1-c9865dd4698e_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:7 Def:7),OREB,PHI @ SAC,PHI,SAC,"Saturday, February 2",3,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800785/499/9b3dd4db-7d40-2875-dbed-f273887ab138_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:6 Def:7),OREB,PHI @ SAC,PHI,SAC,"Saturday, February 2",3,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800785/511/84d6a329-0625-1210-59f2-d05c79276916_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,TOR @ PHI,TOR,PHI,"Tuesday, February 5",1,https://videos.nba.com/nba/pbp/media/2019/02/05/0021800800/8/0a84cce8-ef78-b331-e825-9f359e17d8c9_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:2),OREB,TOR @ PHI,TOR,PHI,"Tuesday, February 5",1,https://videos.nba.com/nba/pbp/media/2019/02/05/0021800800/160/b31eb5fe-5f99-8544-db72-0ff71a9cddfe_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:6),OREB,DEN @ PHI,DEN,PHI,"Friday, February 8",2,https://videos.nba.com/nba/pbp/media/2019/02/08/0021800818/268/86225811-d7c6-a97d-3985-8f6581ed16d5_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:8),OREB,DEN @ PHI,DEN,PHI,"Friday, February 8",3,https://videos.nba.com/nba/pbp/media/2019/02/08/0021800818/349/3a1b9877-c045-53db-2712-032d4b083cc5_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,BOS @ PHI,BOS,PHI,"Tuesday, February 12",1,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800849/21/d240c1dd-1c27-2746-24ab-7bc3f8b8eb31_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:11),OREB,BOS @ PHI,BOS,PHI,"Tuesday, February 12",4,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800849/593/c6a4cc73-dc13-172e-1bd1-9d288a879682_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:11),OREB,BOS @ PHI,BOS,PHI,"Tuesday, February 12",4,https://videos.nba.com/nba/pbp/media/2019/02/12/0021800849/661/fd2ab589-6a3b-faed-aa44-187642a1a69c_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:1),OREB,PHI @ NYK,PHI,NYK,"Wednesday, February 13",2,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800856/199/06a567ab-d584-5445-0650-4e75156447cc_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:1),OREB,PHI @ NYK,PHI,NYK,"Wednesday, February 13",2,https://videos.nba.com/nba/pbp/media/2019/02/13/0021800856/217/c442749c-92a0-81bf-a222-b5e59ad628be_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:1),OREB,IND @ PHI,IND,PHI,"Sunday, March 10",1,https://videos.nba.com/nba/pbp/media/2019/03/10/0021800994/37/a4a8ba26-0a36-f8a8-4faf-82ade212bd4a_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:1),OREB,IND @ PHI,IND,PHI,"Sunday, March 10",1,https://videos.nba.com/nba/pbp/media/2019/03/10/0021800994/39/39dae8dd-fbb6-8d5b-0f41-bb74b39d2db7_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:8),OREB,IND @ PHI,IND,PHI,"Sunday, March 10",4,https://videos.nba.com/nba/pbp/media/2019/03/10/0021800994/698/58625b6b-26dd-7ef2-6317-fd9032408bfe_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:9),OREB,CLE @ PHI,CLE,PHI,"Tuesday, March 12",4,https://videos.nba.com/nba/pbp/media/2019/03/12/0021801008/497/0c08cdab-baa0-af6e-80d9-cca67e6f4a93_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:9),OREB,CLE @ PHI,CLE,PHI,"Tuesday, March 12",4,https://videos.nba.com/nba/pbp/media/2019/03/12/0021801008/499/8ed3a3fb-f5fb-3f6b-4f19-488653719415_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:13),OREB,CLE @ PHI,CLE,PHI,"Tuesday, March 12",4,https://videos.nba.com/nba/pbp/media/2019/03/12/0021801008/611/6d4483e2-e25d-4fed-4bbf-dabf08905823_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:2),OREB,SAC @ PHI,SAC,PHI,"Friday, March 15",1,https://videos.nba.com/nba/pbp/media/2019/03/15/0021801027/55/0ce5a53b-46d4-f515-8a44-02592f837845_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:3),OREB,SAC @ PHI,SAC,PHI,"Friday, March 15",1,https://videos.nba.com/nba/pbp/media/2019/03/15/0021801027/64/8eb97574-7661-ee47-76f1-e6eeffb99205_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:0),OREB,PHI @ MIL,PHI,MIL,"Sunday, March 17",1,https://videos.nba.com/nba/static/missing.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,PHI @ MIL,PHI,MIL,"Sunday, March 17",1,https://videos.nba.com/nba/static/missing.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:3),OREB,BOS @ PHI,BOS,PHI,"Wednesday, March 20",1,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801067/63/bfb4b083-8e10-1de4-0038-c51b20a4c377_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:10),OREB,BOS @ PHI,BOS,PHI,"Wednesday, March 20",3,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801067/388/22fe70d4-0166-c6b1-4841-ae1340419972_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:10),OREB,BOS @ PHI,BOS,PHI,"Wednesday, March 20",3,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801067/390/40a1a86c-707a-228a-ad08-8f48351d5081_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:4 Def:10),OREB,BOS @ PHI,BOS,PHI,"Wednesday, March 20",3,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801067/392/d3e950ce-813d-978c-4b1e-7727315d9b78_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:6 Def:14),OREB,BOS @ PHI,BOS,PHI,"Wednesday, March 20",4,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801067/603/38f72f05-068f-a625-6ed4-7629c5c75039_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:6 Def:14),OREB,BOS @ PHI,BOS,PHI,"Wednesday, March 20",4,https://videos.nba.com/nba/pbp/media/2019/03/20/0021801067/605/ba9dc19a-b4af-e762-575b-fd825aa0b503_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:2),OREB,PHI @ ATL,PHI,ATL,"Saturday, March 23",2,https://videos.nba.com/nba/pbp/media/2019/03/23/0021801088/337/5869d6cd-cdc7-03ee-b700-9dda86e4f730_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,PHI @ ORL,PHI,ORL,"Monday, March 25",1,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801103/10/35f6f63a-c493-3893-29a8-d9b496a5782c_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:7),OREB,PHI @ ORL,PHI,ORL,"Monday, March 25",3,https://videos.nba.com/nba/pbp/media/2019/03/25/0021801103/354/c3f0fa40-d39b-d786-d4dc-24bdd2658a34_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,BKN @ PHI,BKN,PHI,"Thursday, March 28",1,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/15/ac1bdf17-b583-f85f-436f-dde00e805530_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:1),OREB,BKN @ PHI,BKN,PHI,"Thursday, March 28",1,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/41/7fda999c-bfd0-531a-d0a4-7b3cc9f7e95f_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:3),OREB,BKN @ PHI,BKN,PHI,"Thursday, March 28",2,https://videos.nba.com/nba/pbp/media/2019/03/28/0021801123/184/2b625534-8f45-5b9d-e794-d83d08f0bc32_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:2),OREB,MIL @ PHI,MIL,PHI,"Thursday, April 4",1,https://videos.nba.com/nba/pbp/media/2019/04/04/0021801177/129/a561dd6e-ba15-9632-96f0-67975c0c7a31_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:3 Def:3),OREB,MIL @ PHI,MIL,PHI,"Thursday, April 4",2,https://videos.nba.com/nba/pbp/media/2019/04/04/0021801177/232/75171eef-4bca-0d7e-b74c-41f64ac3263c_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:2 Def:3),OREB,MIL @ PHI,MIL,PHI,"Thursday, April 4",2,https://videos.nba.com/nba/pbp/media/2019/04/04/0021801177/244/252910ae-77df-78f8-e6f2-bf1e3723c6d8_1280x720.mp4
2018-19,4,Joel Embiid,Embiid REBOUND (Off:1 Def:5),OREB,PHI @ CHI,PHI,CHI,"Saturday, April 6",2,https://videos.nba.com/nba/pbp/media/2019/04/06/0021801194/290/17f41745-2fde-dcec-cd3b-a9ffa5c5bf31_1280x720.mp4
2018-19,5,LeBron James,James REBOUND (Off:1 Def:1),OREB,LAL @ POR,LAL,POR,"Thursday, October 18",1,https://videos.nba.com/nba/pbp/media/2018/10/18/0021800016/104/58ef9595-7feb-6c7f-8b98-18408e14a10b_1280x720.mp4
2018-19,5,LeBron James,James REBOUND (Off:2 Def:1),OREB,LAL @ POR,LAL,POR,"Thursday, October 18",1,https://videos.nba.com/nba/pbp/media/2018/10/18/0021800016/116/bd328e3d-3d4a-73ce-8064-285c45b3262f_1280x720.mp4
2018-19,5,LeBron James,James REBOUND (Off:1 Def:3),OREB,SAS @ LAL,SAS,LAL,"Monday, October 22",2,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800048/298/613f5d4b-214e-f2ef-2e2b-93e8792c04d0_1280x720.mp4
2018-19,5,LeBron James,James REBOUND (Off:2 Def:4),OREB,SAS @ LAL,SAS,LAL,"Monday, October 22",4,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800048/581/27b6f10d-70e1-e0b4-3a88-d080cb699b84_1280x720.mp4
2018-19,5,LeBron James,James REBOUND (Off:1 Def:6),OREB,LAL @ SAS,LAL,SAS,"Saturday, October 27",3,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/403/d620440f-1248-6805-90ce-afd4c06c80e3_1280x720.mp4
2018-19,5,LeBron James,James REBOUND (Off:1 Def:2),OREB,LAL @ MIN,LAL,MIN,"Monday, October 29",1,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800093/175/a65375d3-6fcd-623a-36e7-ecb2603d54aa_1280x720.mp4
